graph,question,answer
3d-point-cloud-classification-on-scanobjectnn,"In 3D point cloud classification for ScanObjectNN, what method does the DeLA paper introduce?",Decoupled Local Aggregation for Point Cloud Learning
3d-point-cloud-classification-on-scanobjectnn,"Which recent paper uses Point Feature Enhancement Masked Autoencoders for ScanObjectNN classification?",Towards Compact 3D Representations via Point Feature Enhancement Masked Autoencoders
3d-point-cloud-classification-on-scanobjectnn,"What's the highest reported Overall Accuracy for 3D point cloud classification on ScanObjectNN?",90.4
3d-point-cloud-classification-on-scanobjectnn,"Which paper addresses both OBJ-BG and OBJ-ONLY tasks for ScanObjectNN classification?",Towards Compact 3D Representations via Point Feature Enhancement Masked Autoencoders
3d-point-cloud-classification-on-scanobjectnn,"What's the best reported performance on the OBJ-BG task for ScanObjectNN?",95.18
action-recognition-in-videos-on-something-1,"Which paper proposes using simple arithmetic operations for temporal modeling in action recognition on Something-Something v1?",What Can Simple Arithmetic Operations Do for Temporal Modeling?
action-recognition-in-videos-on-something-1,"What method uses correlation structures for vision transformers in Something-Something v1 action recognition?",Learning Correlation Structures for Vision Transformers
action-recognition-in-videos-on-something-1,"Which paper introduces temporal patch shift for action recognition on Something-Something v1?",Spatiotemporal Self-attention Modeling with Temporal Patch Shift for Action Recognition
action-recognition-in-videos-on-something-1,"What approach focuses on motion-driven visual tempo learning for Something-Something v1?",Motion-driven Visual Tempo Learning for Video-based Action Recognition
action-recognition-in-videos-on-something-1,"Which paper proposes a busy-quiet video disentangling approach for Something-Something v1?",Busy-Quiet Video Disentangling for Video Classification
action-recognition-in-videos-on-something-1,"What is the SELFYNet model in the context of Something-Something v1 action recognition?",Learning Self-Similarity in Space and Time as Generalized Motion for Video Action Recognition
action-recognition-in-videos-on-something-1,"What's the highest reported Top 1 Accuracy for action recognition on Something-Something v1?",65.6
action-recognition-in-videos-on-something-1,"Which paper introduces a channel tensorization network for Something-Something v1?",CT-Net: Channel Tensorization Network for Video Classification
action-recognition-in-videos-on-something-1,"What is the EAN method for action recognition on Something-Something v1?",EAN: Event Adaptive Network for Enhanced Action Recognition
action-recognition-in-videos-on-something-1,"Which paper presents a general video foundation model using generative and discriminative learning for Something-Something v1?",InternVideo: General Video Foundation Models via Generative and Discriminative Learning
action-recognition-in-videos-on-ucf101,"Which paper introduces a web-supervised learning method for action recognition on UCF101?",Omni-sourced Webly-supervised Learning for Video Recognition
action-recognition-in-videos-on-ucf101,"What approach proposes holistic video understanding for UCF101 action recognition?",Large Scale Holistic Video Understanding
action-recognition-in-videos-on-ucf101,"Which paper introduces busy-quiet video disentangling for UCF101 action recognition?",Busy-Quiet Video Disentangling for Video Classification
action-recognition-in-videos-on-ucf101,"What's the highest reported 3-fold Accuracy for action recognition on UCF101?",98.6
action-recognition-in-videos-on-ucf101,"How many distinct methods are commonly compared in recent UCF101 action recognition papers?",3
action-recognition-on-ava-v2-2,"Which paper explores using 3D pose and tracking for human action recognition on AVA v2.2?",On the Benefits of 3D Pose and Tracking for Human Action Recognition
action-recognition-on-ava-v2-2,"What method proposes end-to-end spatio-temporal action localization using video transformers for AVA v2.2?",End-to-End Spatio-Temporal Action Localisation with Video Transformers
action-recognition-on-ava-v2-2,"Which paper introduces masked feature prediction for self-supervised visual pre-training in AVA v2.2 context?",Masked Feature Prediction for Self-Supervised Visual Pre-Training
action-recognition-on-ava-v2-2,"What's the highest reported mAP for action recognition on AVA v2.2?",45.1
action-recognition-on-ava-v2-2,"How many major approaches are typically compared in recent AVA v2.2 action recognition studies?",3
anomaly-detection-on-mvtec-ad,"Which paper proposes using conditioned denoising diffusion models for anomaly detection on MVTec AD?",Anomaly Detection with Conditioned Denoising Diffusion Models
anomaly-detection-on-mvtec-ad,"What method introduces efficient pixel labeling for industrial anomaly detection on MVTec AD?",Towards Efficient Pixel Labeling for Industrial Anomaly Detection and Localization
anomaly-detection-on-mvtec-ad,"Which paper uses weakly-supervised residual transformers for MVTec AD anomaly detection?",Industrial Anomaly Detection and Localization Using Weakly-Supervised Residual Transformers
anomaly-detection-on-mvtec-ad,"What approach introduces the concept of 'total recall' for industrial anomaly detection on MVTec AD?",Towards Total Recall in Industrial Anomaly Detection
anomaly-detection-on-mvtec-ad,"What's the highest reported Detection AUROC for anomaly detection on MVTec AD?",99.8
anomaly-detection-on-mvtec-ad,"Which paper introduces the PatchCore method for MVTec AD anomaly detection?",Towards Total Recall in Industrial Anomaly Detection
